district,date,epi_week,reporting_year,suspected_cases,rdt_confirmations
Mufulira,2022-01-01,1,2022,0,341
Mufulira,2023-01-01,1,2023,0,599
Mufulira,2024-01-01,1,2024,0,538
Mufulira,2025-01-01,1,2025,0,538
Mufumbwe,2021-01-01,1,2021,0,1096
Mufumbwe,2022-01-01,1,2022,0,1176
Mufumbwe,2023-01-01,1,2023,0,1382
Mufumbwe,2024-01-01,1,2024,0,1025
Mufumbwe,2025-01-01,1,2025,0,1333
Mulobezi,2021-01-01,1,2021,0,1052
Mulobezi,2022-01-01,1,2022,0,802
Mulobezi,2023-01-01,1,2023,0,1023
Mulobezi,2024-01-01,1,2024,0,533
Mulobezi,2025-01-01,1,2025,0,1065
Mumbwa,2021-01-01,1,2021,0,101
Mumbwa,2022-01-01,1,2022,0,61
Mumbwa,2023-01-01,1,2023,0,90
Mumbwa,2024-01-01,1,2024,0,51
Mumbwa,2025-01-01,1,2025,0,38
Mungwi,2021-01-01,1,2021,0,510
Mungwi,2022-01-01,1,2022,0,587
Mungwi,2023-01-01,1,2023,0,754
Mungwi,2024-01-01,1,2024,0,592
Mungwi,2025-01-01,1,2025,0,600
Mushindano,2021-01-01,1,2021,0,404
Mushindano,2022-01-01,1,2022,0,837
Mushindano,2023-01-01,1,2023,0,1260
Mushindano,2024-01-01,1,2024,0,974
Mushindano,2025-01-01,1,2025,0,1044
Mwandi,2021-01-01,1,2021,0,322
Mwandi,2022-01-01,1,2022,0,206
Mwandi,2023-01-01,1,2023,0,244
Mwandi,2024-01-01,1,2024,0,44
Mwandi,2025-01-01,1,2025,0,168
Mwansabombwe,2021-01-01,1,2021,0,875
Mwansabombwe,2022-01-01,1,2022,0,968
Mwansabombwe,2023-01-01,1,2023,0,1009
Mwansabombwe,2024-01-01,1,2024,0,584
Mwansabombwe,2025-01-01,1,2025,0,533
Mwense,2021-01-01,1,2021,0,789
Mwense,2022-01-01,1,2022,0,860
Mwense,2023-01-01,1,2023,0,964
Mwense,2024-01-01,1,2024,0,690
Mwense,2025-01-01,1,2025,0,644
Mwinilunga,2021-01-01,1,2021,0,461
Mwinilunga,2022-01-01,1,2022,0,730
Mwinilunga,2023-01-01,1,2023,0,795
Mwinilunga,2024-01-01,1,2024,0,620
Mwinilunga,2025-01-01,1,2025,0,675
Nakonde,2021-01-01,1,2021,0,299
Nakonde,2022-01-01,1,2022,0,251
Nakonde,2023-01-01,1,2023,0,241
Nakonde,2024-01-01,1,2024,0,192
Nakonde,2025-01-01,1,2025,0,202
Nalolo,2021-01-01,1,2021,0,508
Nalolo,2022-01-01,1,2022,0,680
Nalolo,2023-01-01,1,2023,0,514
Nalolo,2024-01-01,1,2024,0,243
Nalolo,2025-01-01,1,2025,0,446
Namwala,2021-01-01,1,2021,0,7
Namwala,2022-01-01,1,2022,0,4
Namwala,2023-01-01,1,2023,0,12
Namwala,2024-01-01,1,2024,0,5
Namwala,2025-01-01,1,2025,0,5
Nchelenge,2021-01-01,1,2021,0,570
Nchelenge,2022-01-01,1,2022,0,472
Nchelenge,2023-01-01,1,2023,0,505
Nchelenge,2024-01-01,1,2024,0,475
Nchelenge,2025-01-01,1,2025,0,521
Ndola,2021-01-01,1,2021,0,191
Ndola,2022-01-01,1,2022,0,183
Ndola,2023-01-01,1,2023,0,281
Ndola,2024-01-01,1,2024,0,244
Ndola,2025-01-01,1,2025,0,286
Ngabwe,2021-01-01,1,2021,0,709
Ngabwe,2022-01-01,1,2022,0,415
Ngabwe,2023-01-01,1,2023,0,425
Ngabwe,2024-01-01,1,2024,0,285
Ngabwe,2025-01-01,1,2025,0,512
Nkeyema,2021-01-01,1,2021,0,1023
Nkeyema,2022-01-01,1,2022,0,394
Nkeyema,2023-01-01,1,2023,0,487
Nkeyema,2024-01-01,1,2024,0,268
